# num asns 1125
# squat_asn squat_dod_ip
8151 11.11.0.1
4134 11.65.251.0
8075 22.31.222.1
37963 11.219.127.0
139972 11.10.173.1
263626 11.11.14.1
8764 11.11.11.1
5432 22.106.118.73
5432 22.107.155.0
5432 22.107.232.241
28716 11.100.0.2
5432 22.107.193.193
5432 22.107.98.0
13954 7.173.180.129
5432 22.107.75.0
139992 11.0.0.1
14117 11.1.9.254
9927 11.11.0.0
7922 7.17.176.1
9299 11.0.0.1
6848 22.107.245.222
37963 11.220.137.118
3257 7.10.5.0
8452 11.0.247.82
8437 11.0.0.1
45102 11.52.236.0
45102 11.52.84.0
5432 22.106.98.205
8003 11.29.80.0
20077 11.145.1.1
17816 11.205.0.1
812 7.11.165.89
11172 7.224.4.2
8075 22.97.23.0
4847 11.22.80.20
18196 11.11.11.1
5650 11.11.22.1
5432 22.107.169.0
5432 22.107.135.225
2134 11.77.0.1
7590 11.101.11.0
42010 11.14.255.252
5432 22.107.233.0
812 7.11.168.181
812 7.11.166.85
1221 22.151.17.1
2527 11.110.1.252
34235 22.107.233.18
812 7.11.167.93
37963 11.217.227.89
5432 22.106.74.61
1221 22.162.116.101
3356 7.48.229.13
4773 22.6.99.1
7018 11.2.4.193
36692 11.10.10.254
5432 22.107.249.9
5432 22.106.108.0
263230 11.11.11.0
136907 11.22.80.18
45804 11.11.14.1
812 7.11.166.5
7713 11.10.1.1
28538 11.22.33.254
136907 11.90.32.14
5432 22.107.105.89
4837 11.63.2.0
30600 22.248.0.33
264913 11.1.77.0
47377 22.107.153.173
17622 7.7.5.208
38500 11.11.11.1
8075 22.63.0.1
16735 11.1.1.45
55836 11.10.10.254
9808 11.22.97.21
7922 11.88.1.1
4808 11.48.180.14
6128 7.169.178.129
45102 11.207.108.34
812 7.11.169.13
33915 11.11.11.254
64300 22.22.22.0
27729 11.2.0.1
42334 11.2.4.1
8053 11.0.0.105
3462 22.8.1.0
27648 11.0.0.0
5432 22.106.2.97
5432 22.107.102.0
6848 22.106.76.0
4812 11.228.249.34
5432 11.10.10.254
6739 11.90.1.4
8075 22.107.162.38
5432 22.107.148.161
45102 11.52.240.22
5432 22.107.99.57
37963 11.218.122.85
45102 11.52.236.105
10834 22.254.4.2
6147 11.11.11.0
4808 11.94.132.121
3352 11.104.8.33
