,#Field:count,sourceIPCount,endUserASN,which_data
501,59967,4,203689,tracerouteasncounts
502,182,4,203894,tracerouteasncounts
503,124,16,204303,tracerouteasncounts
504,18,10,204393,tracerouteasncounts
505,12,1,204924,tracerouteasncounts
506,2500,55,205241,tracerouteasncounts
507,384,5,206192,tracerouteasncounts
508,55,16,206280,tracerouteasncounts
509,3520,2,206287,tracerouteasncounts
510,4,1,206474,tracerouteasncounts
511,140,54,206893,tracerouteasncounts
512,147,1,207123,tracerouteasncounts
513,222,11,207744,tracerouteasncounts
514,1,1,208929,tracerouteasncounts
515,71,6,210140,tracerouteasncounts
516,24,2,210275,tracerouteasncounts
517,11351,111,262223,tracerouteasncounts
518,204,62,262633,tracerouteasncounts
519,5082,264,262743,tracerouteasncounts
520,121,22,262831,tracerouteasncounts
521,130,42,263926,tracerouteasncounts
522,480,43,264369,tracerouteasncounts
523,63,18,264464,tracerouteasncounts
524,674,39,266345,tracerouteasncounts
525,2295,87,266453,tracerouteasncounts
526,224,77,266551,tracerouteasncounts
527,14,9,266958,tracerouteasncounts
528,62,9,268005,tracerouteasncounts
529,767,35,268636,tracerouteasncounts
530,34,9,268819,tracerouteasncounts
531,54,15,268887,tracerouteasncounts
532,167,64,269109,tracerouteasncounts
533,36,18,269504,tracerouteasncounts
534,276,58,269506,tracerouteasncounts
535,76,10,269533,tracerouteasncounts
536,595,48,269673,tracerouteasncounts
537,14,3,269755,tracerouteasncounts
538,866,29,270528,tracerouteasncounts
539,26,10,270572,tracerouteasncounts
540,1,1,270726,tracerouteasncounts
541,8,1,327956,tracerouteasncounts
542,631,10,327999,tracerouteasncounts
543,10388,54,328038,tracerouteasncounts
544,6,1,393643,tracerouteasncounts
545,310,2,394533,tracerouteasncounts
546,12,1,395505,tracerouteasncounts
547,684,1,395749,tracerouteasncounts
548,147,2,396380,tracerouteasncounts
549,751,11,1290,tracerouteasncounts
550,10712,101,2701,tracerouteasncounts
551,3,1,3203,tracerouteasncounts
552,1275026,266,3561,tracerouteasncounts
553,103628,14,4583,tracerouteasncounts
554,382,2,4642,tracerouteasncounts
555,16986,11,4851,tracerouteasncounts
556,1131419,12,6157,tracerouteasncounts
557,1,1,7038,tracerouteasncounts
558,982,6,7393,tracerouteasncounts
559,3177042,7,7734,tracerouteasncounts
560,11,2,8146,tracerouteasncounts
561,12,1,9159,tracerouteasncounts
562,878,31,9811,tracerouteasncounts
563,19888,9,10666,tracerouteasncounts
564,367792,20,11109,tracerouteasncounts
565,107980,120,11114,tracerouteasncounts
566,174,5,11534,tracerouteasncounts
567,2,1,11963,tracerouteasncounts
568,41651,119,12019,tracerouteasncounts
569,18063,39,12333,tracerouteasncounts
570,67995,4,13336,tracerouteasncounts
571,55394,275,13692,tracerouteasncounts
572,594,1,13706,tracerouteasncounts
573,14406,1,13715,tracerouteasncounts
574,29909,2,13972,tracerouteasncounts
575,1782,5,14205,tracerouteasncounts
576,941814,3629,14638,tracerouteasncounts
577,1857,7,15038,tracerouteasncounts
578,2750,1,15185,tracerouteasncounts
579,82,2,15346,tracerouteasncounts
