,AS,# of source IP,# of Traceroutes,Type,Feature
385,1273,4.0,610118,Squatted lenPref,lenPref
386,17995,13.0,51253,Squatted lenPref,lenPref
387,14638,3629.0,941814,Not Squatted lenPref,lenPref
388,12772,110.0,26170,Not Squatted lenPref,lenPref
389,54004,63.0,57013,Not Squatted lenPref,lenPref
390,58640,12.0,39054,Squatted lenPref,lenPref
391,21127,1.0,40537,Squatted lenPref,lenPref
392,9929,344.0,1184667,Squatted lenPref,lenPref
393,55714,6.0,9893,Squatted lenPref,lenPref
394,30722,6.0,2388705,Squatted lenPref,lenPref
395,140312,953.0,6052,Not Squatted lenPref,lenPref
396,46687,1.0,69884,Squatted lenPref,lenPref
397,4249,2.0,9124,Squatted lenPref,lenPref
398,58895,15.0,10732,Squatted lenPref,lenPref
399,45117,66.0,50166,Squatted lenPref,lenPref
400,6648,2.0,12370,Squatted lenPref,lenPref
401,28840,718.0,47465,Not Squatted lenPref,lenPref
402,24138,209.0,7207,Not Squatted lenPref,lenPref
403,12978,58644.0,184685,Not Squatted lenPref,lenPref
404,11888,13636.0,1239113,Not Squatted lenPref,lenPref
405,36974,1.0,71212,Squatted lenPref,lenPref
406,48695,300.0,9073,Not Squatted lenPref,lenPref
407,6821,1.0,83861,Squatted lenPref,lenPref
408,45671,46.0,32237,Squatted lenPref,lenPref
409,9569,315.0,6223,Not Squatted lenPref,lenPref
410,23860,11.0,314063,Squatted lenPref,lenPref
411,46618,242.0,48291,Not Squatted lenPref,lenPref
412,7633,2.0,8542,Squatted lenPref,lenPref
413,20278,177.0,13366,Not Squatted lenPref,lenPref
414,15404,58.0,131092,Not Squatted lenPref,lenPref
415,133480,53.0,7509,Squatted lenPref,lenPref
416,18822,2.0,273544,Squatted lenPref,lenPref
417,55836,7900.0,6102651,Squatted lenPref,lenPref
418,6703,200.0,13741,Not Squatted lenPref,lenPref
419,38511,1056.0,36415,Squatted lenPref,lenPref
420,24158,1741.0,63531,Not Squatted lenPref,lenPref
421,27882,4.0,260571,Squatted lenPref,lenPref
422,9443,4.0,1530776,Squatted lenPref,lenPref
423,50340,12.0,5493,Not Squatted lenPref,lenPref
424,3356,36.0,9353787,Squatted ASCone,ASCone
425,1299,4.0,110432,Squatted ASCone,ASCone
426,3257,21.0,2367785,Squatted ASCone,ASCone
427,174,14.0,5920393,Squatted ASCone,ASCone
428,2914,6.0,302359,Squatted ASCone,ASCone
429,6939,19.0,251537,Squatted ASCone,ASCone
430,6453,5.0,326863,Squatted ASCone,ASCone
431,6461,11.0,1930274,Squatted ASCone,ASCone
432,3549,79.0,8026528,Squatted ASCone,ASCone
433,3491,2.0,158965,Squatted ASCone,ASCone
434,1273,4.0,610118,Squatted ASCone,ASCone
435,9002,27.0,10849,Not Squatted ASCone,ASCone
436,5511,1.0,296914,Squatted ASCone,ASCone
437,4637,9.0,596393,Squatted ASCone,ASCone
438,12956,46.0,9531,Not Squatted ASCone,ASCone
439,12389,1.0,1071443,Squatted ASCone,ASCone
440,20485,218.0,52589,Not Squatted ASCone,ASCone
441,701,207.0,38894658,Squatted ASCone,ASCone
442,3320,40.0,15354479,Squatted ASCone,ASCone
443,7018,461.0,82489488,Squatted ASCone,ASCone
444,52320,21.0,5447,Not Squatted ASCone,ASCone
445,3216,1841.0,580209,Not Squatted ASCone,ASCone
446,6830,32.0,15475998,Squatted ASCone,ASCone
447,16735,3.0,776989,Squatted ASCone,ASCone
448,9498,98.0,1762566,Squatted ASCone,ASCone
449,31133,1.0,42696,Squatted ASCone,ASCone
450,7922,583.0,169673248,Squatted ASCone,ASCone
451,262589,467.0,26433,Not Squatted ASCone,ASCone
452,1239,2.0,1102921,Squatted ASCone,ASCone
453,2828,4.0,812959,Squatted ASCone,ASCone
454,209,123.0,20087554,Squatted ASCone,ASCone
455,9304,10.0,1391100,Squatted ASCone,ASCone
456,15412,7.0,24692,Not Squatted ASCone,ASCone
457,8359,1067.0,269920,Not Squatted ASCone,ASCone
458,10429,9.0,758322,Squatted ASCone,ASCone
459,18881,21.0,1141489,Squatted ASCone,ASCone
460,4826,15.0,1513817,Squatted ASCone,ASCone
461,4755,84.0,2701022,Squatted ASCone,ASCone
462,7738,13.0,951718,Squatted ASCone,ASCone
463,4766,12.0,3171940,Squatted ASCone,ASCone
464,28917,59.0,5723,Not Squatted ASCone,ASCone
465,8220,16.0,3000044,Squatted ASCone,ASCone
466,29076,43.0,8617,Not Squatted ASCone,ASCone
467,4230,16.0,1187836,Squatted ASCone,ASCone
468,286,49.0,224438,Not Squatted ASCone,ASCone
469,26615,1.0,541636,Squatted ASCone,ASCone
470,4809,39.0,2262884,Squatted ASCone,ASCone
471,7843,1.0,9726,Squatted ASCone,ASCone
472,46887,6.0,2297780,Squatted ASCone,ASCone
473,8167,6.0,473786,Squatted ASCone,ASCone
474,1221,156.0,15304744,Squatted ASCone,ASCone
475,58453,4.0,67937,Squatted ASCone,ASCone
476,3326,1.0,69137,Squatted ASCone,ASCone
477,7029,30.0,4904551,Squatted ASCone,ASCone
478,3303,3.0,3815103,Squatted ASCone,ASCone
479,61568,200.0,10383,Not Squatted ASCone,ASCone
480,22773,101.0,29812846,Squatted ASCone,ASCone
481,14840,407.0,41020,Not Squatted ASCone,ASCone
482,8218,85.0,156664,Not Squatted ASCone,ASCone
483,28598,1.0,22495,Squatted ASCone,ASCone
