#Field:count	sourceIPCount	endUserASN
6	2	53998
183	4	54133
511	9	54180
1801	31	54221
61	1	54361
49	1	54435
5	1	54477
64	9	54536
1434	2	54538
7	1	54617
13246	2	54697
104	1	54770
18467	35	54841
7898	5	54896
4620	59	55044
5396	1	55179
164	2	55223
12259	71	55254
310	2	55265
2	1	55334
56	2	55356
197	18	55379
209	6	55382
65	2	55446
24	1	55656
96	14	55679
887	2	55780
531087	17763	56040
13	2	56277
35	2	56321
244626	610	56329
1096	12	56339
95	8	56359
1	1	56432
154	15	56476
23879	99	56534
93	6	56616
339	5	56621
502	9	56642
50	2	56646
42	1	56651
62	1	57187
13	1	57192
372	3	57199
157	16	57236
17	2	57240
156	2	57254
744	3	57263
657	1	57500
14811	105	57513
254	5	57583
21	1	57641
362	9	57710
507	8	57803
633	1	57875
176	2	57904
43	6	57960
2591	18	58010
33434	488	58075
22	2	58162
790	4	58174
58	3	58180
12793	390	58461
243	23	58475
1273	57	58594
202	2	58681
1296	32	58717
102	6	58879
100	9	58930
59065	698	59257
1	1	59393
294	11	59403
442	7	59415
60	1	59418
15	2	59424
745	7	59441
11	3	59453
46	1	59469
81	4	59504
84	1	59620
147	1	59672
3036	16	59780
10716	8	59820
4610	5	59970
2151	8	60042
394	1	60226
17	4	60432
421	18	60453
11	1	60463
323	22	60530
384	1	60746
22	3	60769
5247	1	60832
10	2	60839
7	2	60851
11	1	60852
5	4	61209
67	5	61351
1	1	61362
71	3	61369
1	1	61389
154	46	61508
209	33	61570
1370	74	61642
78	24	61680
83	9	61740
358	37	61753
228	28	61776
97	10	61844
783	35	61874
577	20	61882
140	21	61915
342	1	61991
4	1	62063
755	1	62127
515	2	62143
6308	644	62235
143	2	62246
92	2	62259
267	10	62393
3	1	62483
9	1	62495
113	1	62553
6616	1	62581
10330	4	62723
52825	2	62990
2473	3	63027
1485	4	63151
5	1	63157
16377	1	63171
9675	38	63178
3	1	63294
163	1	63413
16	1	63417
7	2	63498
622	1	63935
10	4	64109
2972	3	64252
273	1	64287
7672	19	64459
12	4	64475
122943	2934	131111
4120	88	131167
127	6	131246
2923	105	131285
5	2	131719
763	15	131724
13715	424	131916
303	28	132092
7197	4	132160
1125	2	132360
1	1	132369
7446	16	132384
1991	46	132480
279	16	132562
81825	89	132585
20	1	132626
6	2	132701
304	12	132764
192	1	132791
58	2	132796
21	1	133145
546	10	133240
5717	73	133317
21269	2	133370
111	2	133383
5830	18	133401
2296	5	133453
949	17	133527
22570	1	133537
677	1	133548
91	3	133581
15	1	133706
156	1	133792
12365	607	133798
1776	1	133942
65	8	133964
924	4	134005
10805	34	134009
722	46	134084
1046	1	134115
653	9	134226
17384	9	134244
574	15	134269
254	8	134315
1337	8	134553
34	9	134596
4	1	134610
328	14	134614
329	4	134695
11	3	134765
296	21	134768
30840	5043	134775
17242	491	134810
24	1	134827
280	3	134906
15451	247	134928
1707	1	134985
69	1	135040
38	2	135086
94	12	135187
5052	70	135226
3258	30	135242
1529	3	135328
290	6	135366
674	48	135636
620	10	135691
332	8	135737
341	1	135748
43	6	135789
5596	39	135801
2334	28	135851
131	10	135875
2	1	135901
545	9	136061
669	3	136087
282	2	136098
93	14	136170
55	1	136171
292823	10714	136200
7	1	136232
4074	2	136247
447	17	136294
153	9	136356
232	17	136379
22169	14	136547
570	10	136618
408	18	136652
103	11	136745
83	2	136777
1311	1	136797
119	14	136844
112	2	136909
173	4	136920
46	3	136986
162158	297	136994
705	18	137029
131	3	137116
339	9	137138
367	28	137141
834	13	137150
957	13	137154
32579	9	137188
60	8	137252
92	2	137302
76	2	137335
236	16	137485
225	9	137553
6	1	137576
674	38	137584
146	13	137652
475	32	137871
60	1	137930
35709	1	137938
489	6	137995
849	4	138104
7	1	138243
10248	32	138322
35	2	138369
729	3	138569
7912	2	138588
23	4	138694
63	8	138884
102	2	138892
21	1	139021
1199	3	139040
254	30	139190
20	1	139206
132	6	139239
45	4	139377
90	5	139414
353	6	139454
1763	58	139525
193	13	139550
11	2	139650
2	1	139652
805	2	139696
8	8	139816
149	2	139822
26	1	139857
6916	1	139869
128	2	139924
68	18	139973
720	3	140129
7033	2	140230
31	7	140389
575	6	140541
138	1	140552
490	1	140840
146	3	140885
166901	2	140944
221	13	140989
96	5	141049
340	12	141071
140	17	141154
75	4	141201
676	16	141275
1111	6	141301
13	2	141308
134	2	141345
219	6	141347
113	4	141484
298	7	141555
84	5	141635
10	3	141726
152	3	141801
143	8	141916
15	1	141937
31	2	142008
575	1	142049
239	2	142064
770	30	142459
4256	21	196797
2311	4	196815
1712	73	196838
1538	71	196874
51	2	196914
1139	6	196952
1532	21	196961
51	1	197015
27	1	197040
32	2	197042
2893	11	197133
85	4	197143
182	2	197144
9	1	197205
1970	3	197380
1583	8	197480
2511	2	197536
449	1	197610
17	1	197764
1173	1	198009
13	2	198048
111	1	198069
1116	5	198072
32773	226	198089
3	1	198103
2884	9	198227
572	2	198386
170	1	198457
2415	26	198577
2828	3	198622
15	1	198645
66	1	198674
584	15	198766
2663	2	198815
949	15	198906
3	1	198915
12218	1	198943
1472	2	198957
830	6	199020
283	80	199039
99	2	199117
7488	4	199134
24	1	199224
10363	15	199283
2116	1	199300
4473	1	199305
5473	116	199380
2	1	199560
83	1	199572
6841	186	199837
6182	3	199944
779	8	200046
66	1	200050
927	1	200071
10	1	200183
152472	4	200284
214	2	200361
20	1	200362
6	1	200498
69	1	200577
2297	6	200602
3255	385	200773
890	67	200794
126	5	200838
1536	9	200848
417	1	200861
243	21	200937
1094	5	200985
222	3	201107
7784	224	201167
3593	2	201170
59	7	201194
15	5	201206
6718	1	201456
26537	2	201482
2188	1	201485
1368	78	201502
97	1	201655
295	11	201668
3451	12	201826
1257	2	201904
158	1	201920
1459	6	201931
805	2	201939
53133	11	202020
