4b42 Internet Exchange Point	185.1.125.0/24
MSK-IX Ekaterinburg	194.85.107.0/24
MSK-IX Kazan	194.190.119.0/24
MSK-IX Moscow	195.208.208.0/21
MSK-IX Novosibirsk	193.232.87.0/24
MSK-IX Riga	193.232.244.0/24
MSK-IX Rostov-on-Don	193.232.140.0/24
MSK-IX Saint-Petersburg	194.226.100.0/23
MSK-IX Saint-Petersburg	194.226.102.0/23
MSK-IX Samara	193.232.135.0/24
MSK-IX Stavropol	194.85.177.0/24
MSK-IX Vladivostok	193.232.136.0/24
Mumbai IX	103.27.170.0/24
MyIX	218.100.44.0/24
MYNAP	103.229.35.0/24
NaMeX	193.201.40.0/24
NaMeX Rome IXP	193.201.28.0/24
NAPAfrica IX Cape Town	196.10.140.0/24
NAPAfrica IX Durban	196.10.141.0/24
NAPAfrica IX Johannesburg	196.60.8.0/22
NAPAfrica Johannesburg	196.60.8.0/23
NAP Chile	192.168.173.0/24
NAP-Colombia	206.223.124.0/24
NAP de Cuba	200.0.16.0/24
NAP del Caribe	191.97.88.0/21
NAP.EC - GYE	200.110.120.0/24
NAP.EC - UIO	200.1.6.0/24
Nap Peru	191.97.48.0/24
NAP Peru	206.223.130.0/24
NASA-AIX	198.32.136.0/24
NASA-AIX	198.32.153.0/24
NASA-AIX	198.9.201.0/24
NASA-AIX	198.9.202.0/24
NashIX	209.141.110.0/24
NDIX	193.108.98.0/24
NetIX	193.218.0.0/24
Netnod Copenhagen	195.69.117.0/24
Netnod Copenhagen	212.237.192.0/24
Netnod Copenhagen	212.237.193.0/24
Netnod Copenhagen MTU4470	195.69.118.0/24
Netnod Gothenburg	194.68.130.0/24
Netnod Gothenburg	195.69.116.0/24
Netnod Lulea	194.68.131.64/26
Netnod Stockholm	194.68.123.0/24
Netnod Stockholm	194.68.128.0/24
Netnod Stockholm	195.245.240.0/24
Netnod Stockholm	195.69.119.0/24
Netnod Sundsvall	194.68.133.0/24
Netnod Sundsvall	194.68.135.0/24
NFX.CZ	81.201.48.192/26
NIX1	185.1.55.0/24
NIX1	193.156.90.0/24
N-IX	195.85.217.0/24
NIX2	185.1.65.0/26
NIX2	193.156.120.0/24
NIXA	103.104.146.0/24
NIX.CZ	194.50.100.0/24
NIX.CZ	91.210.16.0/22
NIXI Ahmedabad	218.100.49.128/26
NIXI Bangalore	218.100.49.0/26
NIXI Chennai	218.100.48.128/26
NIXI Delhi	218.100.48.0/26
NIXI Hyderabad	218.100.49.64/26
NIXI Kolkata	218.100.48.192/26
NIXI Mumbai	218.100.48.64/26
NIX.SK	194.30.187.0/24
NIXVAL-ix	213.162.194.0/24
NL-ix	193.239.116.0/22
NL-ix 2	185.1.122.0/24
NL-ix multicast	194.246.39.224/27
NLocIX	185.1.138.0/24
NNENIX	206.71.140.0/24
NNOV-IX	91.230.65.0/24
NormandIX	185.1.38.0/24
Norrnod	212.32.128.0/24
NOVO NIX	163.53.143.0/24
NPIX	198.32.231.0/24
npIX JWL	98.32.231.128/25
npIX PTS	198.32.231.0/25
NSPIXP3	202.249.38.0/26
NWAX	198.32.195.0/24
NYCX	198.32.229.0/24
